Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2008,2008,1000 persons,1043.210000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2009,2009,1000 persons,1045.241000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2010,2010,1000 persons,1047.539000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2011,2011,1000 persons,1049.436000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2012,2012,1000 persons,1050.833000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2013,2013,1000 persons,1052.416000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2014,2014,1000 persons,1054.197000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2015,2015,1000 persons,1055.735000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2016,2016,1000 persons,1057.059000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2017,2017,1000 persons,1058.136000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2018,2018,1000 persons,1059.049000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2019,2019,1000 persons,1059.539000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2020,2020,1000 persons,1058.187000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2021,2021,1000 persons,1054.633000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2022,2022,1000 persons,1050.073000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2023,2023,1000 persons,1046.326000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2024,2024,1000 persons,1044.933000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2025,2025,1000 persons,1044.822000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2026,2026,1000 persons,1044.420000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2027,2027,1000 persons,1043.723000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2028,2028,1000 persons,1042.718000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2029,2029,1000 persons,1041.408000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2030,2030,1000 persons,1039.784000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2031,2031,1000 persons,1037.858000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2032,2032,1000 persons,1035.621000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2033,2033,1000 persons,1033.073000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2034,2034,1000 persons,1030.249000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2035,2035,1000 persons,1027.139000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2036,2036,1000 persons,1023.749000,X,
